omega,RAS_DMFT_metal,QUANTY_metal,RAS_DMFT_insulator,QUANTY_insulator
-3.3,0.019453311749450378,0.018899710020357747,4.484724251269986e-5,1.172894136313055e-5
-3.267,0.020553595148286474,0.019872855369950662,3.6928003942252174e-5,3.080944930397919e-5
-3.234,0.021663529007528166,0.020864410540930526,7.43526526817737e-5,9.946056335958755e-5
-3.201,0.022779964443304643,0.02188132803823028,0.00025249162332514186,0.0003370200766422739
-3.168,0.023898979614948686,0.02294360741652122,0.0008565561320586937,0.0010737011174528405
-3.135,0.02501647884359004,0.02404188222140368,0.0025747871632821697,0.0030564157772704848
-3.102,0.026131782322389534,0.02516044802986319,0.006759683694848543,0.0076622766896669685
-3.069,0.02724595862243514,0.026312944105305155,0.015536579293590754,0.0169404809372628
-3.036,0.028361613978800222,0.02750973719689235,0.03145189298950668,0.033260368549643614
-3.003,0.029486105340816835,0.028732227696505304,0.05652567827578478,0.05845348930933611
-2.97,0.030629926890609314,0.02997299944528268,0.09107814792371925,0.09266157366743716
-2.937,0.03180482061780913,0.03125106408873816,0.13312695746271896,0.13362778415393356
-2.904,0.03302442290920829,0.03257230282372865,0.17893315922882602,0.17740182361215118
-2.871,0.034301158443647506,0.03393153054372727,0.22444498136104368,0.2204443156964319
-2.838,0.035644263243136326,0.03535157273840162,0.2667142642799232,0.2613085349311632
-2.805,0.037062111256536204,0.03686676312186605,0.30448029880693395,0.29999719955293697
-2.772,0.03856287705361353,0.038487325499027884,0.3378470177074937,0.3358294090854431
-2.739,0.04015709561673219,0.040219435363091784,0.36757965569004303,0.36687133013039547
-2.706,0.04186368075823412,0.04207931045818907,0.39453998425150677,0.39221932518090363
-2.673,0.043712136946533704,0.04405967392639932,0.41941945809745645,0.41440434601285314
-2.64,0.04574179123440644,0.046131955463446034,0.4426901355234531,0.43798645350980675
-2.607,0.04799883126845536,0.04829597629213631,0.46464925120400297,0.4646503514739448
-2.574,0.05052906463627404,0.050594814788942705,0.4854774025476092,0.4905968247373413
-2.541,0.05337327822250047,0.053109871526705384,0.505292296007489,0.5105348362955628
-2.508,0.05656868124348663,0.05598422943603842,0.5241872662977374,0.5241680020674395
-2.475,0.06015373709324271,0.05941727162223563,0.5422454014148735,0.5372669173732637
-2.442,0.06417680261664363,0.06361057833952241,0.5595449701519046,0.5558829838137255
-2.409,0.06870399519989566,0.06874317056586647,0.576161058750755,0.5798884291837972
-2.376,0.07382142734697407,0.07497562573891961,0.5921623943638474,0.6024020171700305
-2.343,0.07963481735970061,0.08242636997654405,0.6076093375885588,0.616241984653826
-2.31,0.08626851509774455,0.09115357080798492,0.6225475064481885,0.6216937672672841
-2.277,0.09386538625880335,0.1011705194804168,0.6369967477883702,0.6273138766041892
-2.244,0.10258757726478339,0.11244875244331029,0.6509425209654821,0.6420598395180334
-2.211,0.11261243258440401,0.124915722126504,0.6643371379331452,0.6664839949454409
-2.178,0.12411947617093008,0.13847938104859034,0.6771252601352836,0.691575986600605
-2.145,0.137266538968487,0.15304213380371534,0.6892901823252536,0.7062841092995876
-2.112,0.1521562696916501,0.16849505356992184,0.7008854955606366,0.7073510532668951
-2.079,0.16880322312206128,0.18473067401690435,0.7120120484160616,0.7028668979340612
-2.046,0.18711371155390838,0.20164846556566327,0.7227487230167234,0.7057048311589691
-2.013,0.2068867003562805,0.21911967524703083,0.7331128530061302,0.7223178720250801
-1.98,0.22783800533583534,0.23693948663784203,0.7430856510738796,0.7471553443587192
-1.947,0.24964008101263718,0.25479146722090923,0.7526115262145953,0.7677941666707983
-1.914,0.2719634419932179,0.27226821695558606,0.7615266051602094,0.7760370492110953
-1.881,0.29450760910299245,0.289019013735967,0.7695913568149821,0.7745742742860284
-1.848,0.31701884545848713,0.30498460491271984,0.7767471735008171,0.7728439117358642
-1.815,0.33929947343300393,0.3205487691136213,0.7833094007717556,0.7768635131131886
-1.782,0.36120922378720305,0.3364499952916413,0.7897244203274622,0.7843020049410969
-1.749,0.3826544609212397,0.3534405460469078,0.7960656711716939,0.7897452733104148
-1.716,0.40357146020344364,0.3718838491958622,0.8018629059788459,0.793076751850308
-1.683,0.4239235809992469,0.3915627932417857,0.8064862803144975,0.8001571788109361
-1.65,0.44372289764817885,0.4118078057937434,0.8096511326779654,0.8142312307892653
-1.617,0.4630585607688042,0.43182485705266965,0.8115328378680795,0.8285272182901933
-1.584,0.48209714746065796,0.4510214028961498,0.8124646202482756,0.8305618760103597
-1.551,0.5010334722224979,0.4692099716207856,0.8125713198553279,0.8152300263823063
-1.518,0.5200154031316876,0.48671190858830665,0.8116450104540202,0.7923923754278345
-1.485,0.5391043881375367,0.5044390443103804,0.8093034313397582,0.7794904863462584
-1.452,0.5582980182010863,0.5239503855546392,0.8052507216213107,0.785776605328606
-1.419,0.5775550290510318,0.5473617251545906,0.7993898482117202,0.8037693784365083
-1.386,0.5967539932299023,0.5769344009811073,0.7916814545472335,0.8157410761893561
-1.353,0.6156200475902228,0.614252779047516,0.7819183588012155,0.8081243882404726
-1.32,0.6337333581394167,0.6591401274504993,0.7696603482118246,0.7809098611646472
-1.287,0.6506888832737296,0.7087720031536736,0.7543222112655312,0.7458501429766085
-1.254,0.666376038471701,0.7576027587615436,0.7352069365705616,0.7166769598101216
-1.221,0.681269276101825,0.7984894155887655,0.7114007953284861,0.6986748604308378
-1.188,0.6965510405016062,0.8247871590805078,0.6816124766671335,0.6845984491987672
-1.155,0.7138478446522439,0.8325735490681362,0.6440288069424903,0.6601715165898632
-1.122,0.7344941092710372,0.8220650746439689,0.5963221954059074,0.6147673904943188
-1.089,0.7586472560912196,0.7979334435871523,0.53615352031071,0.5475496617935965
-1.056,0.7850849796389687,0.7691135435182819,0.4624623138569173,0.4645803793384486
-1.023,0.81266405623056,0.7489538504321216,0.3772257509540894,0.3728606409971861
-0.99,0.843758354276301,0.7558065983433676,0.2865299592215581,0.27880385597865553
-0.957,0.8884921532413175,0.8127690768414149,0.19962692905188012,0.19022689356393782
-0.924,0.966872396160474,0.9441104461692357,0.12582604002280706,0.11600118184497418
-0.891,1.1051551548896819,1.1661915249171988,0.07090527350642765,0.062174852215705165
-0.858,1.324268338154733,1.4737996384725363,0.03537434575772468,0.02894633411364241
-0.825,1.6226702025205386,1.8285302996945052,0.015501454688443569,0.011614808546765377
-0.792,1.9624462870918955,2.159936685086154,0.005929381546456619,0.003996671066719897
-0.759,2.270881298332225,2.3861132621185095,0.001969937206073248,0.0011755875759334132
-0.726,2.4638759454001704,2.447062294709305,0.0005662507232694428,0.0002949556831972634
-0.693,2.4824529026583453,2.3315738503597334,0.00014039135316807155,6.3032138958659e-5
-0.66,2.3206515772601137,2.0798977832395633,2.994915533818519e-5,1.1460364293785449e-5
-0.627,2.0262745901816923,1.7612954457431425,5.486482312185428e-6,1.7713156635645733e-6
-0.594,1.6749960897889307,1.442745162180317,8.618191804004621e-7,2.326188402831094e-7
-0.561,1.3364509812234826,1.1676296976623428,1.1696289701697221e-7,2.697436721220784e-8
-0.528,1.0525285504858461,0.9517771546472322,3.076346127625068e-8,1.9879055110491745e-8
-0.495,0.8349662294853472,0.7915872812574872,2.4488053878097756e-7,2.437813969726806e-7
-0.462,0.6756882047214214,0.6748564021900142,2.871819023559797e-6,2.8719166701376366e-6
-0.429,0.5592953482966057,0.5884044103435585,2.856020790865124e-5,2.8562202844517664e-5
-0.396,0.47131770808372786,0.5215100947350473,0.00023959854007325334,0.0002396159137902782
-0.363,0.4014086038186491,0.4665585391990691,0.0016955444059005228,0.0016956714700932633
-0.33,0.3433643874200889,0.4183298520213964,0.010121298878536853,0.01012208202307881
-0.297,0.29389309279180786,0.37280935088298855,0.05096422336649152,0.050968291351293056
-0.264,0.25121472704535064,0.3263392856697461,0.2164694685365431,0.2164872781942551
-0.231,0.2139433483613655,0.27594410521521945,0.7755860174828508,0.7756517362948715
-0.198,0.18046657240772718,0.22084107596832225,2.3440418997077948,2.344246308446481
-0.165,0.14900670261535262,0.16376504522670599,5.975893506597102,5.976429428305548
-0.132,0.11839347857404407,0.11038517946130211,12.851162293721819,12.852346727418032
-0.099,0.08911000086479975,0.06666239232129352,23.312242196731653,23.31444889019013
-0.066,0.06373576048453697,0.03605757043302919,35.67202504410844,35.675490883937165
-0.033,0.04615757502002196,0.01876047757877299,46.04405474505737,46.04864379411876
0.0,0.03983918279913128,0.013278264481159884,50.1327396484253,50.13786231807051
0.033,0.04615782132327922,0.01876080176420884,46.04382504414065,46.0486460805064
0.066,0.06373619949742904,0.036058653995262126,35.67166912947577,35.67549442662611
0.099,0.08911037818592533,0.06666515157298593,23.31189330369522,23.31445236298837
0.132,0.11839309857185998,0.11039076250254855,12.850905852217108,12.852349279976345
0.165,0.14900439766893991,0.1637735830994744,5.975744447774125,5.976430912002435
0.198,0.18046145926826787,0.2208485963497455,2.343971737964517,2.3442470068204715
0.231,0.21393639837995895,0.2759376130155637,0.7755589336155043,0.775652005881657
0.264,0.2512092593142839,0.3262929200866592,0.21646082944210068,0.2164873641859355
0.297,0.2938913641967956,0.3726895506779067,0.050961935195789856,0.050968314127268
0.33,0.34336187690433473,0.41812005319340023,0.010120793966566509,0.010122087048871391
0.363,0.4013948774007418,0.4663024836510413,0.0016954513636523183,0.0016956723962172728
0.396,0.4712895743997891,0.5213406742719722,0.00023958419695688024,0.00023961605655791886
0.429,0.559270208469702,0.5885000269784364,2.855835535828955e-5,2.856222127988991e-5
